Wire initialized.
Initializing MPU9250...
MPU9250 Initialized successfully.
Haptic motors initialized.
Flex1,Flex2,FSR1,FSR2,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
0,0,46,65,-0.68,0.04,-0.71,-0.18,3.97,-0.79,0.00,0.00,0.00
0,0,46,65,-0.69,0.05,-0.70,-0.31,3.97,-0.85,0.00,0.00,0.00
0,0,46,65,-0.69,0.04,-0.70,0.00,4.03,1.22,0.00,0.00,0.00
0,0,46,65,-0.69,0.04,-0.70,0.61,2.81,-1.77,0.00,0.00,0.00
0,0,46,65,-0.69,0.05,-0.70,-0.37,3.97,1.34,0.00,0.00,0.00
0,0,46,65,-0.69,0.05,-0.70,1.46,-0.12,-4.46,0.00,0.00,0.00
0,0,46,66,-0.69,0.03,-0.70,-1.77,5.68,2.08,0.00,0.00,0.00
0,0,47,66,-0.69,0.06,-0.70,0.31,3.36,0.61,0.00,0.00,0.00
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
0,0,43,62,-0.69,0.06,-0.70,-0.06,4.39,0.18,0.00,0.00,0.00
0,0,45,64,-0.69,0.05,-0.70,-0.24,4.39,-0.18,0.00,0.00,0.00
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
0,0,42,60,-0.69,0.05,-0.70,-0.12,4.27,-0.55,0.00,0.00,0.00
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
0,0,43,61,-0.69,0.05,-0.70,-0.49,4.15,-0.43,0.00,0.00,0.00
0,0,45,64,-0.69,0.05,-0.70,-0.18,3.85,-0.98,0.00,0.00,0.00
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
0,0,43,61,-0.69,0.04,-0.70,-0.67,4.09,-0.92,0.00,0.00,0.00
0,0,46,64,-0.69,0.04,-0.69,-0.37,3.60,-0.12,0.00,0.00,0.00
0,0,46,65,-0.69,0.04,-0.70,-0.31,3.91,-0.85,0.00,0.00,0.00
